Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,AvgH,AvgD,AvgA
10/08/2018,맨유,레스터,2,1,H,1,0,H,8,13,6,4,1.57,3.9,7.5,1.53,4,7.5,1.55,3.8,7,1.58,3.93,7.5,1.57,3.8,6,1.57,4,7,1.561666667,3.905,7.083333333
11/08/2018,본머스,카디프,2,0,H,1,0,H,12,10,4,1,1.9,3.6,4.5,1.9,3.4,4.4,1.9,3.5,4.1,1.89,3.63,4.58,1.91,3.5,4,1.87,3.6,4.75,1.895,3.538333333,4.388333333
11/08/2018,풀햄,팰리스,0,2,A,0,1,A,15,10,6,9,2.5,3.4,3,2.45,3.3,2.95,2.4,3.3,2.95,2.5,3.46,3,2.45,3.3,2.8,2.5,3.4,3,2.466666667,3.36,2.95
11/08/2018,허더스필드,첼시,0,3,A,0,2,A,6,13,1,4,6.5,4,1.61,6.25,3.9,1.57,6.2,4,1.55,6.41,4.02,1.62,5.8,3.9,1.57,6.5,4,1.62,6.276666667,3.97,1.59
11/08/2018,뉴캐슬,토트넘,1,2,A,1,2,A,15,15,2,5,3.9,3.5,2.04,3.8,3.5,2,3.7,3.35,2.05,3.83,3.57,2.08,3.8,3.2,2.05,3.9,3.4,2.1,3.821666667,3.42,2.053333333
11/08/2018,왓포드,브라이튼,2,0,H,1,0,H,19,6,5,0,2.37,3.2,3.4,2.35,3.1,3.3,2.2,3.3,3.4,2.43,3.22,3.33,2.38,3,3.3,2.4,3.2,3.4,2.355,3.17,3.355
11/08/2018,울버햄튼,에버턴,2,2,D,1,1,D,11,6,4,5,2.37,3.3,3.3,2.35,3.2,3.2,2.25,3.35,3.2,2.36,3.4,3.28,2.3,3.2,3.2,2.38,3.3,3.3,2.335,3.291666667,3.246666667
12/08/2018,아스널,맨시티,0,2,A,0,1,A,9,17,3,8,4,3.8,1.95,3.7,3.75,1.95,3.6,3.6,2,4,3.97,1.93,3.8,3.8,1.91,3.9,4,1.91,3.833333333,3.82,1.941666667
12/08/2018,리버풀,웨스트햄,4,0,H,2,0,H,18,5,8,2,1.25,6.5,14,1.2,6.75,14,1.25,6.1,11,1.27,6.35,13.25,1.25,5.5,12,1.25,6.5,13,1.245,6.283333333,12.875
12/08/2018,사우샘프턴,번리,0,0,D,0,0,D,18,16,3,6,1.85,3.5,5,1.8,3.5,4.75,1.8,3.6,4.5,1.86,3.51,4.99,1.83,3.25,4.8,1.85,3.4,5.2,1.831666667,3.46,4.873333333
18/08/2018,카디프,뉴캐슬,0,0,D,0,0,D,12,12,1,6,3.25,3.1,2.54,3.1,3.1,2.45,2.9,3.2,2.5,3.25,3.12,2.54,3.1,3,2.45,3.25,3.1,2.55,3.141666667,3.103333333,2.505
18/08/2018,첼시,아스널,3,2,H,2,2,D,24,15,11,6,1.8,4,4.5,1.78,3.8,4.5,1.8,3.8,4.2,1.83,3.97,4.46,1.83,3.75,4,1.8,4,4.5,1.806666667,3.886666667,4.36
18/08/2018,에버턴,사우샘프턴,2,1,H,2,0,H,13,15,7,4,1.9,3.5,4.75,1.91,3.3,4.5,2,3.25,4,1.89,3.56,4.71,1.91,3.4,4,1.91,3.5,4.6,1.92,3.418333333,4.426666667
18/08/2018,레스터,울버햄튼,2,0,H,2,0,H,6,11,2,3,2.04,3.5,3.9,2,3.5,3.8,2.1,3.3,3.6,2.05,3.56,3.9,2.05,3.4,3.6,2.05,3.5,4,2.048333333,3.46,3.8
18/08/2018,토트넘,풀햄,3,1,H,1,0,H,25,10,11,3,1.28,6,12,1.28,6,10,1.27,6,10,1.28,6.29,12.44,1.25,6,10,1.29,6,12,1.275,6.048333333,11.07333333
18/08/2018,웨스트햄,본머스,1,2,A,1,0,H,11,12,5,5,2.1,3.6,3.7,2.1,3.3,3.75,2.05,3.55,3.55,2.09,3.65,3.69,2.05,3.6,3.4,2.1,3.6,3.7,2.081666667,3.55,3.631666667
19/08/2018,브라이튼,맨유,3,2,H,3,1,H,6,9,3,3,5.5,3.6,1.75,5.5,3.6,1.7,5.1,3.5,1.75,5.37,3.56,1.81,4.8,3.6,1.75,5.5,3.6,1.75,5.295,3.576666667,1.751666667
19/08/2018,번리,왓포드,1,3,A,1,1,D,8,9,3,6,2.45,3.1,3.4,2.4,3.1,3.2,2.4,3.1,3.15,2.47,3.08,3.37,2.38,3,3.25,2.4,3.1,3.5,2.416666667,3.08,3.311666667
19/08/2018,맨시티,허더스필드,6,1,H,3,1,H,32,5,14,1,1.1,13,26,1.07,12,31,1.08,10.5,29,1.1,12.39,32.7,1.06,12,29,1.06,13,34,1.078333333,12.14833333,30.28333333
20/08/2018,팰리스,리버풀,0,2,A,0,1,A,8,16,2,6,7,5,1.44,6.75,4.75,1.44,7,4.5,1.45,7.34,5.09,1.45,6,4.75,1.44,7,5,1.45,6.848333333,4.848333333,1.445
25/08/2018,아스널,웨스트햄,3,1,H,1,1,D,17,13,10,5,1.36,5.5,9,1.36,5.25,7.75,1.4,4.8,7.5,1.38,5.52,8.77,1.36,5,7.5,1.36,5.5,9,1.37,5.261666667,8.253333333
25/08/2018,본머스,에버턴,2,2,D,0,0,D,17,11,5,3,2.62,3.6,2.75,2.6,3.4,2.7,2.55,3.5,2.65,2.63,3.58,2.77,2.5,3.6,2.62,2.6,3.6,2.75,2.583333333,3.546666667,2.706666667
25/08/2018,허더스필드,카디프,0,0,D,0,0,D,5,14,1,4,2.37,3,3.7,2.25,3.1,3.5,2.3,3,3.55,2.34,3.1,3.68,2.3,3.1,3.3,2.38,3.1,3.6,2.323333333,3.066666667,3.555
25/08/2018,리버풀,브라이튼,1,0,H,1,0,H,22,6,8,2,1.16,8.5,19,1.16,7.5,17.5,1.15,7.9,18,1.17,8.54,21.13,1.15,8,17,1.15,8.5,23,1.156666667,8.156666667,19.27166667
25/08/2018,사우샘프턴,레스터,1,2,A,0,0,D,11,8,5,5,2.45,3.2,3.25,2.4,3.2,3.1,2.4,3.15,3.1,2.45,3.34,3.18,2.3,3.3,3.1,2.45,3.25,3.25,2.408333333,3.24,3.163333333
25/08/2018,울버햄튼,맨시티,1,1,D,0,0,D,11,18,2,6,11,6.5,1.28,10,6.75,1.25,11,6.1,1.25,12.1,6.52,1.27,10,6,1.25,13,6.25,1.29,11.18333333,6.353333333,1.265
26/08/2018,풀햄,번리,4,2,H,3,2,H,25,12,12,2,2,3.4,4.33,2,3.3,4,1.97,3.35,4.1,1.97,3.47,4.4,2,3.25,3.9,2,3.4,4.33,1.99,3.361666667,4.176666667
26/08/2018,뉴캐슬,첼시,1,2,A,0,0,D,6,15,2,3,5.75,4,1.66,5.25,3.8,1.67,5,3.75,1.7,5.49,4.06,1.68,5,3.75,1.67,5.5,4,1.67,5.331666667,3.893333333,1.675
26/08/2018,왓포드,팰리스,2,1,H,0,0,D,13,9,5,3,2.6,3.25,3,2.55,3.1,2.95,2.5,3.2,2.95,2.61,3.33,2.96,2.5,3.3,2.8,2.6,3.3,2.9,2.56,3.246666667,2.926666667
27/08/2018,맨유,토트넘,0,3,A,0,0,D,23,9,5,5,2.62,3.3,2.9,2.55,3.2,2.9,2.6,3.25,2.75,2.61,3.36,2.93,2.5,3.4,2.7,2.6,3.3,2.9,2.58,3.301666667,2.846666667
01/09/2018,브라이튼,풀햄,2,2,D,0,1,A,15,10,5,5,2.3,3.4,3.4,2.2,3.3,3.4,2.2,3.3,3.4,2.24,3.45,3.47,2.25,3.3,3.2,2.25,3.4,3.5,2.24,3.358333333,3.395
01/09/2018,첼시,본머스,2,0,H,0,0,D,24,8,6,1,1.3,6,11,1.28,6,9.5,1.27,6,10,1.3,6.3,10.73,1.29,5.8,8.5,1.3,6,11,1.29,6.016666667,10.12166667
01/09/2018,팰리스,사우샘프턴,0,2,A,0,0,D,20,19,6,6,2,3.5,4.2,1.95,3.4,4.1,2,3.4,3.8,1.95,3.5,4.47,1.95,3.4,4,2,3.4,4.33,1.975,3.433333333,4.15
01/09/2018,에버턴,허더스필드,1,1,D,1,1,D,11,9,1,6,1.53,4.2,7.5,1.5,4,7.5,1.6,4,5.5,1.5,4.3,8.06,1.5,3.8,7.5,1.53,4.2,7.5,1.526666667,4.083333333,7.26
01/09/2018,레스터,리버풀,1,2,A,0,2,A,12,10,5,4,7.5,5,1.44,6.5,4.75,1.45,6.5,4.3,1.5,7.5,4.96,1.45,7,4.75,1.4,7.5,5,1.45,7.083333333,4.793333333,1.448333333
01/09/2018,맨시티,뉴캐슬,2,1,H,1,1,D,24,3,8,2,1.11,11,26,1.12,9.5,18.5,1.12,9,20,1.12,10.57,27.95,1.08,10,26,1.11,11,29,1.11,10.17833333,24.575
01/09/2018,웨스트햄,울버햄튼,0,1,A,0,0,D,13,15,3,6,2.6,3.4,2.87,2.5,3.3,2.85,2.5,3.3,2.85,2.58,3.44,2.91,2.4,3.5,2.8,2.5,3.5,2.9,2.513333333,3.406666667,2.863333333
02/09/2018,번리,맨유,0,2,A,0,2,A,9,21,2,9,6,3.75,1.7,6,3.6,1.65,5,3.75,1.7,5.94,3.85,1.68,5.5,3.7,1.65,6.25,3.8,1.65,5.781666667,3.741666667,1.671666667
02/09/2018,카디프,아스널,2,3,A,1,1,D,14,17,3,11,6.5,4.33,1.57,6,4,1.57,5.4,3.8,1.65,6.35,4.54,1.55,5.5,4.33,1.53,6.5,4.33,1.55,6.041666667,4.221666667,1.57
02/09/2018,왓포드,토트넘,2,1,H,0,0,D,7,11,3,2,5.5,4.2,1.64,5.5,4.25,1.57,5.3,3.9,1.65,5.5,4.19,1.66,5,4.2,1.62,5.75,4.2,1.62,5.425,4.156666667,1.626666667
15/09/2018,본머스,레스터,4,2,H,3,0,H,10,14,5,8,2.45,3.5,3,2.4,3.4,2.95,2.35,3.4,3,2.43,3.46,3.13,2.38,3.4,2.9,2.45,3.5,3,2.41,3.443333333,2.996666667
15/09/2018,첼시,카디프,4,1,H,2,1,H,18,6,7,2,1.18,8,19,1.19,7,15,1.2,6.8,15,1.19,7.4,18.5,1.17,7,15,1.18,7.5,21,1.185,7.283333333,17.25
15/09/2018,허더스필드,팰리스,0,1,A,0,1,A,15,7,2,2,3.3,3.1,2.5,3.1,3.1,2.45,3.2,3.1,2.4,3.25,3.23,2.48,3.1,3,2.45,3.3,3.13,2.5,3.208333333,3.11,2.463333333
15/09/2018,맨시티,풀햄,3,0,H,2,0,H,28,9,9,3,1.12,10,26,1.13,9,19.5,1.12,9,20,1.13,10.17,20.82,1.12,9,17,1.13,10,26,1.125,9.528333333,21.55333333
15/09/2018,뉴캐슬,아스널,1,2,A,0,0,D,4,12,2,2,4.2,3.8,1.9,4,3.6,1.91,4,3.6,1.9,4.2,3.83,1.92,3.75,3.7,1.91,4.1,3.75,1.95,4.041666667,3.713333333,1.915
15/09/2018,토트넘,리버풀,1,2,A,0,1,A,11,17,3,10,3,3.6,2.4,2.95,3.6,2.3,2.95,3.6,2.3,3.03,3.71,2.37,2.88,3.5,2.3,3.1,3.7,2.3,2.985,3.618333333,2.328333333
15/09/2018,왓포드,맨유,1,2,A,0,2,A,14,9,5,6,4.33,3.6,1.95,4.2,3.6,1.87,4.15,3.55,1.9,4.18,3.65,1.97,4,3.4,1.91,4.4,3.6,1.93,4.21,3.566666667,1.921666667
16/09/2018,에버턴,웨스트햄,1,3,A,1,2,A,16,9,4,4,2,3.75,3.9,2,3.6,3.7,2,3.55,3.6,2.07,3.69,3.76,2.05,3.6,3.4,2.05,3.6,3.75,2.028333333,3.631666667,3.685
