Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,AvgH,AvgD,AvgA
17/08/2018,레알 베티스,레반테,0,3,A,0,1,A,22,6,8,4,1.66,4,5,1.7,3.7,5.25,1.75,3.6,4.9,1.69,4.19,5.11,1.67,3.9,4.75,1.67,4.2,5.2,1.69,3.931666667,5.035
17/08/2018,지로나,레알 바야돌리드,0,0,D,0,0,D,13,2,1,1,1.75,3.6,5,1.75,3.5,5.25,1.8,3.6,4.5,1.8,3.7,4.99,1.75,3.6,4.6,1.8,3.7,4.8,1.775,3.616666667,4.856666667
18/08/2018,바르셀로나,알라베스,3,0,H,0,0,D,25,3,9,0,1.11,10,21,1.11,10,20,1.12,9,20,1.11,11.27,25.4,1.08,9,29,1.1,10.5,34,1.105,9.961666667,24.9
18/08/2018,셀타 데 비고,에스파뇰,1,1,D,0,1,A,12,14,2,5,1.85,3.5,4.5,1.91,3.4,4.25,1.9,3.5,4.1,1.93,3.64,4.27,1.91,3.5,4,1.93,3.5,4.4,1.905,3.506666667,4.253333333
18/08/2018,비야레알,레알 소시에다드,1,2,A,1,1,D,16,8,7,4,2.04,3.4,3.8,2.05,3.3,3.9,2,3.4,3.8,2.06,3.51,3.91,2.05,3.3,3.6,2.05,3.5,3.9,2.041666667,3.401666667,3.818333333
19/08/2018,에이바르,우에스카,1,2,A,0,2,A,18,8,6,6,1.66,3.75,5.5,1.7,3.7,5.25,1.7,3.75,5,1.72,3.9,5.26,1.73,3.6,4.75,1.7,3.8,5,1.701666667,3.75,5.126666667
19/08/2018,레알 마드리드,헤타페,2,0,H,1,0,H,10,4,3,1,1.2,7,13,1.18,7.25,16,1.2,6.5,15,1.2,7.36,17.47,1.22,6,13,1.2,7,13,1.2,6.851666667,14.57833333
19/08/2018,바예카노,세비야,1,4,A,0,3,A,13,17,2,8,3.25,3.6,2.14,3.5,3.5,2.1,3.5,3.4,2.1,3.46,3.74,2.13,3.3,3.7,2.05,3.4,3.6,2.1,3.401666667,3.59,2.103333333
20/08/2018,아틀레틱,레가네스,2,1,H,1,1,D,17,12,5,2,1.75,3.3,5.5,1.78,3.5,5,1.85,3.5,4.4,1.79,3.54,5.46,1.8,3.4,4.75,1.8,3.4,5,1.795,3.44,5.018333333
20/08/2018,발렌시아,AT 마드리드,1,1,D,0,1,A,13,9,4,3,3,3.2,2.5,2.85,3.25,2.55,2.85,3.2,2.55,3.12,3.18,2.57,3,3.2,2.4,3,3.2,2.45,2.97,3.205,2.503333333
24/08/2018,헤타페,에이바르,2,0,H,1,0,H,7,9,4,0,1.95,3.2,4.33,1.95,3.3,4.2,2,3.2,4.2,2.01,3.35,4.43,1.95,3.1,4.33,2,3.25,4.5,1.976666667,3.233333333,4.331666667
24/08/2018,레가네스,레알 소시에다드,2,2,D,0,2,A,18,7,5,6,3.5,3.3,2.1,3.5,3.2,2.2,3.6,3.2,2.15,3.66,3.36,2.2,3.4,3.25,2.15,3.7,3.3,2.2,3.56,3.268333333,2.166666667
25/08/2018,알라베스,레알 베티스,0,0,D,0,0,D,16,13,4,5,2.8,3.25,2.6,2.65,3.3,2.6,2.8,3.2,2.6,2.87,3.36,2.63,2.8,3.25,2.5,2.88,3.3,2.63,2.8,3.276666667,2.593333333
25/08/2018,AT 마드리드,바예카노,1,0,H,0,0,D,9,13,2,3,1.16,7,21,1.17,7.25,18,1.17,7.2,18.5,1.16,8.09,24.21,1.14,7,21,1.17,7.5,23,1.161666667,7.34,20.95166667
25/08/2018,레알 바야돌리드,바르셀로나,0,1,A,0,0,D,7,10,4,5,17,7.5,1.16,15,7,1.19,13,7,1.2,19.07,8.18,1.18,17,7.5,1.15,21,7.5,1.18,17.01166667,7.446666667,1.176666667
26/08/2018,에스파뇰,발렌시아,2,0,H,0,0,D,19,16,9,4,3.25,3.2,2.37,2.95,3.3,2.45,3.1,3.3,2.35,3.19,3.48,2.35,3.1,3.4,2.25,3.1,3.4,2.3,3.115,3.346666667,2.345
26/08/2018,지로나,레알 마드리드,1,4,A,1,1,D,10,20,5,8,8,5.5,1.36,9.25,4.75,1.36,7,5.2,1.4,8.99,5.42,1.37,7,5.5,1.36,8.5,5.5,1.33,8.123333333,5.311666667,1.363333333
26/08/2018,세비야,비야레알,0,0,D,0,0,D,19,14,2,6,1.72,4.2,4.33,1.72,3.9,4.75,1.75,3.9,4.45,1.79,3.98,4.7,1.75,3.9,4.33,1.73,3.9,4.6,1.743333333,3.963333333,4.526666667
27/08/2018,아틀레틱,우에스카,2,2,D,0,0,D,14,9,4,4,1.61,3.6,6.5,1.6,3.75,6.5,1.63,3.8,5.7,1.64,3.8,6.45,1.65,3.6,5.5,1.62,3.8,6,1.625,3.725,6.108333333
27/08/2018,레반테,셀타 데 비고,1,2,A,0,2,A,15,21,6,9,2.4,3.25,3,2.5,3.25,2.95,2.45,3.25,2.95,2.52,3.31,3.08,2.45,3.25,2.9,2.45,3.3,3,2.461666667,3.268333333,2.98
31/08/2018,에이바르,레알 소시에다드,2,1,H,1,1,D,8,7,2,2,2.75,3.25,2.62,2.75,3.2,2.65,2.95,3.2,2.5,2.8,3.31,2.73,2.7,3.25,2.62,2.8,3.3,2.7,2.791666667,3.251666667,2.636666667
31/08/2018,헤타페,레알 바야돌리드,0,0,D,0,0,D,12,7,3,4,1.9,3.2,4.75,1.85,3.25,5,1.9,3.2,4.7,1.93,3.18,5.22,1.91,3.2,4.5,1.95,3.25,4.8,1.906666667,3.213333333,4.828333333
31/08/2018,비야레알,지로나,0,1,A,0,0,D,13,14,3,6,1.57,4,6,1.55,4.2,6,1.65,3.8,5.4,1.57,4.17,6.67,1.57,4,5.8,1.57,4.2,6.5,1.58,4.061666667,6.061666667
01/09/2018,셀타 데 비고,AT 마드리드,2,0,H,0,0,D,10,9,4,0,5.5,3.4,1.75,5,3.6,1.75,4.8,3.7,1.75,4.93,3.66,1.81,4.6,3.4,1.8,5,3.6,1.8,4.971666667,3.56,1.776666667
01/09/2018,레알 마드리드,레가네스,4,1,H,1,1,D,17,8,8,3,1.12,9,21,1.12,8.75,23,1.12,9,20,1.13,9.73,25.14,1.1,9.5,21,1.11,10,31,1.116666667,9.33,23.52333333
02/09/2018,알라베스,에스파뇰,2,1,H,0,1,A,8,11,5,7,2.9,3.1,2.54,2.85,3.1,2.65,2.7,3.1,2.8,2.93,3.16,2.71,2.88,3.2,2.5,2.9,3.1,2.6,2.86,3.126666667,2.633333333
02/09/2018,바르셀로나,우에스카,8,2,H,3,2,H,31,7,15,3,1.08,11,29,1.06,12,36,1.07,13,26,1.09,13.22,30.82,1.05,13,34,1.06,13,41,1.068333333,12.53666667,32.80333333
02/09/2018,레알 베티스,세비야,1,0,H,0,0,D,11,8,3,2,2.8,3.5,2.45,2.8,3.5,2.45,2.8,3.4,2.5,2.77,3.87,2.46,2.7,3.5,2.5,2.7,3.75,2.4,2.761666667,3.586666667,2.46
02/09/2018,레반테,발렌시아,2,2,D,2,1,H,13,18,4,5,3.75,3.4,2,3.7,3.3,2.1,3.4,3.3,2.2,3.61,3.59,2.13,3.4,3.6,2.05,3.6,3.6,2.1,3.576666667,3.465,2.096666667
14/09/2018,우에스카,바예카노,0,1,A,0,1,A,14,14,4,2,2.14,3.5,3.4,2.1,3.6,3.4,2.2,3.55,3.2,2.26,3.57,3.3,2.2,3.5,3.1,2.2,3.7,3.3,2.183333333,3.57,3.283333333
15/09/2018,아틀레틱,레알 마드리드,1,1,D,1,0,H,11,16,3,6,6,4.33,1.53,5.5,4.4,1.57,5.2,4.45,1.57,5.46,4.7,1.58,5,4.5,1.57,5.75,4.5,1.57,5.485,4.48,1.565
15/09/2018,AT 마드리드,에이바르,1,1,D,0,0,D,18,12,9,3,1.36,4.33,12,1.36,4.6,10,1.35,4.7,10,1.36,4.78,11.13,1.36,4.5,9,1.4,4.75,9.5,1.365,4.61,10.27166667
15/09/2018,레알 소시에다드,바르셀로나,1,2,A,1,0,H,8,12,5,6,7,5.25,1.4,7,5.25,1.4,6.5,4.7,1.45,7.05,5.46,1.41,6,4.8,1.44,7.5,5.25,1.4,6.841666667,5.118333333,1.416666667
15/09/2018,발렌시아,레알 베티스,0,0,D,0,0,D,12,11,2,6,1.75,3.75,4.75,1.75,3.9,4.5,1.7,3.75,5,1.75,4.06,4.72,1.75,3.75,4.4,1.75,3.9,4.8,1.741666667,3.851666667,4.695
16/09/2018,에스파뇰,레반테,1,0,H,0,0,D,22,16,9,4,1.72,3.6,5.25,1.78,3.5,5,1.8,3.6,4.5,1.79,3.8,4.86,1.75,3.75,4.5,1.8,3.8,4.75,1.773333333,3.675,4.81
16/09/2018,레가네스,비야레알,0,1,A,0,0,D,16,9,3,3,3,3.1,2.54,3.1,3.1,2.5,3,3.1,2.5,3.08,3.19,2.59,2.9,3.2,2.5,3.1,3.2,2.55,3.03,3.148333333,2.53
16/09/2018,세비야,헤타페,0,2,A,0,2,A,15,10,1,5,1.55,4,7,1.53,4.1,6.5,1.57,4.05,5.9,1.56,4.18,6.65,1.57,3.9,5.8,1.57,4.1,6,1.558333333,4.055,6.308333333
16/09/2018,레알 바야돌리드,알라베스,0,1,A,0,0,D,15,10,5,4,2.2,3.1,3.6,2.15,3.1,3.8,2.2,3.05,3.7,2.25,3.13,3.83,2.25,2.9,3.6,2.2,3.1,3.7,2.208333333,3.063333333,3.705
17/09/2018,지로나,셀타 데 비고,3,2,H,2,1,H,11,20,6,7,2.4,3.3,3,2.35,3.3,3.1,2.35,3.4,2.95,2.42,3.53,3.02,2.38,3.4,2.88,2.4,3.4,2.9,2.383333333,3.388333333,2.975
21/09/2018,우에스카,레알 소시에다드,0,1,A,0,0,D,13,7,3,1,3.6,3.4,2.1,3.6,3.4,2.1,3.3,3.4,2.2,3.75,3.53,2.1,3.5,3.4,2.1,3.7,3.5,2.1,3.575,3.438333333,2.116666667
22/09/2018,셀타 데 비고,레알 바야돌리드,3,3,D,2,1,H,12,14,5,4,1.75,3.5,5.25,1.67,3.75,5.5,1.73,3.65,5,1.74,3.65,5.56,1.75,3.6,4.8,1.75,3.75,5.25,1.731666667,3.65,5.226666667
22/09/2018,에이바르,레가네스,1,0,H,0,0,D,14,4,3,2,2.04,3.2,4,2.1,3.2,3.8,2.05,3.2,4,2.08,3.35,4.02,2.05,3.25,3.8,2.05,3.3,4.2,2.061666667,3.25,3.97
22/09/2018,헤타페,AT 마드리드,0,2,A,0,1,A,11,7,2,4,5,3.3,1.8,5,3.2,1.85,5,3.2,1.85,5.22,3.32,1.86,4.75,3.3,1.83,5.2,3.3,1.87,5.028333333,3.27,1.843333333
22/09/2018,레알 마드리드,에스파뇰,1,0,H,1,0,H,19,10,5,3,1.18,7,15,1.19,7.5,13.5,1.2,7,13,1.2,7.17,17.23,1.2,7,12,1.22,7,15,1.198333333,7.111666667,14.28833333
22/09/2018,바예카노,알라베스,1,5,A,1,2,A,13,11,4,7,2.04,3.4,3.6,2.15,3.3,3.6,2.2,3.4,3.3,2.16,3.54,3.53,2.1,3.4,3.5,2.15,3.5,3.6,2.133333333,3.423333333,3.521666667
23/09/2018,바르셀로나,지로나,2,2,D,1,1,D,22,7,11,6,1.08,11,21,1.08,11.5,26,1.1,9.1,28,1.08,13.12,36.83,1.07,11,26,1.06,12,36,1.078333333,11.28666667,28.97166667
23/09/2018,레알 베티스,아틀레틱,2,2,D,0,2,A,15,7,3,4,2.14,3.3,3.6,2.2,3.4,3.3,2.2,3.4,3.35,2.21,3.49,3.46,2.2,3.4,3.2,2.15,3.5,3.3,2.183333333,3.415,3.368333333
23/09/2018,레반테,세비야,2,6,A,1,4,A,19,20,10,9,3.5,3.6,2.04,3.4,3.4,2.15,3.3,3.65,2.1,3.34,3.7,2.17,3.2,3.7,2.1,3.3,3.8,2.15,3.34,3.641666667,2.118333333
23/09/2018,비야레알,발렌시아,0,0,D,0,0,D,11,12,1,2,2.25,3.25,3.3,2.35,3.4,3,2.45,3.4,2.85,2.31,3.44,3.26,2.3,3.4,3,2.3,3.5,3.2,2.326666667,3.398333333,3.101666667
25/09/2018,AT 마드리드,우에스카,3,0,H,3,0,H,17,8,5,1,1.22,6,15,1.22,6.25,15,1.22,6.2,13.5,1.24,6.1,16.21,1.25,5.8,13,1.25,6.25,15,1.233333333,6.1,14.61833333
25/09/2018,에스파뇰,에이바르,1,0,H,0,0,D,9,8,5,1,1.9,3.3,4.5,1.91,3.3,4.4,1.95,3.2,4.4,1.96,3.33,4.63,1.95,3.3,4.2,1.95,3.3,4.6,1.936666667,3.288333333,4.455
25/09/2018,레알 소시에다드,바예카노,2,2,D,1,2,A,16,11,6,6,1.61,4,5.5,1.62,4,5.5,1.65,4,5,1.69,3.98,5.41,1.67,4,5,1.67,4.1,5.4,1.651666667,4.013333333,5.301666667
26/09/2018,아틀레틱,비야레알,0,3,A,0,0,D,12,19,2,6,2.25,3.3,3.3,2.2,3.3,3.4,2.15,3.35,3.45,2.17,3.5,3.53,2.2,3.3,3.4,2.2,3.5,3.5,2.195,3.375,3.43
26/09/2018,레가네스,바르셀로나,2,1,H,0,1,A,10,9,6,5,12,6,1.25,10.5,6.25,1.26,11,6.1,1.25,12.3,6.21,1.27,9.5,6,1.29,11.5,6,1.29,11.13333333,6.093333333,1.268333333
26/09/2018,세비야,레알 마드리드,3,0,H,3,0,H,16,21,7,3,4.33,4.2,1.72,4.33,4.2,1.72,4.05,4.2,1.75,4.23,4.27,1.79,3.9,4.2,1.8,4.33,4.4,1.75,4.195,4.245,1.755
26/09/2018,발렌시아,셀타 데 비고,1,1,D,1,0,H,14,9,5,3,1.66,4,4.75,1.7,4,4.75,1.85,3.8,4,1.71,4.17,4.84,1.73,4.2,4.4,1.73,4.2,4.75,1.73,4.061666667,4.581666667
27/09/2018,알라베스,헤타페,1,1,D,0,0,D,15,13,2,5,2.8,3,2.75,2.8,3,2.75,2.8,2.9,2.85,2.84,3.02,2.89,2.8,3,2.8,2.8,3,2.8,2.806666667,2.986666667,2.806666667
27/09/2018,지로나,레알 베티스,0,1,A,0,0,D,8,14,2,6,2.5,3.3,2.87,2.55,3.4,2.75,2.5,3.4,2.8,2.55,3.54,2.82,2.5,3.5,2.75,2.5,3.5,2.75,2.516666667,3.44,2.79
27/09/2018,레알 바야돌리드,레반테,2,1,H,0,0,D,20,9,6,4,2.04,3.5,3.6,2.05,3.5,3.6,2.05,3.45,3.6,2.09,3.64,3.63,2.1,3.5,3.5,2.05,3.5,3.6,2.063333333,3.515,3.588333333
28/09/2018,바예카노,에스파뇰,2,2,D,1,2,A,11,12,5,5,2.8,3.3,2.6,2.7,3.2,2.75,2.75,3.25,2.65,2.8,3.37,2.7,2.75,3.3,2.6,2.8,3.3,2.7,2.766666667,3.286666667,2.666666667
29/09/2018,바르셀로나,아틀레틱,1,1,D,0,1,A,20,8,8,2,1.16,7.5,17,1.16,8,16.5,1.17,7.5,15,1.15,8.49,20.57,1.15,8.5,15,1.17,9,17,1.16,8.165,16.845
29/09/2018,에이바르,세비야,1,3,A,0,0,D,15,7,2,5,3.3,3.4,2.2,3.2,3.5,2.2,3.2,3.4,2.25,3.26,3.54,2.27,3.2,3.4,2.25,3.3,3.4,2.3,3.243333333,3.44,2.245
29/09/2018,레알 마드리드,AT 마드리드,0,0,D,0,0,D,15,8,6,3,2,3.5,3.75,2.1,3.4,3.6,2.1,3.4,3.5,2.11,3.38,3.85,2.1,3.5,3.4,2.1,3.5,3.7,2.085,3.446666667,3.633333333
29/09/2018,레알 소시에다드,발렌시아,0,1,A,0,1,A,10,9,5,2,2.2,3.4,3.2,2.25,3.4,3.2,2.3,3.4,3.1,2.34,3.52,3.14,2.38,3.4,3,2.38,3.5,3.1,2.308333333,3.436666667,3.123333333
30/09/2018,레알 베티스,레가네스,1,0,H,0,0,D,17,11,4,5,1.64,3.8,5.5,1.67,3.8,5.25,1.67,3.75,5.3,1.69,3.91,5.5,1.7,3.7,5.25,1.67,3.8,5.4,1.673333333,3.793333333,5.366666667
30/09/2018,우에스카,지로나,1,1,D,0,1,A,13,14,6,4,2.5,3.3,2.9,2.55,3.2,2.9,2.45,3.2,3,2.52,3.34,3,2.5,3.3,2.9,2.55,3.3,3,2.511666667,3.273333333,2.95
30/09/2018,레반테,알라베스,2,1,H,2,1,H,14,14,4,2,2.14,3.5,3.3,2.2,3.3,3.4,2.15,3.4,3.35,2.22,3.52,3.39,2.2,3.4,3.3,2.15,3.5,3.3,2.176666667,3.436666667,3.34
30/09/2018,비야레알,레알 바야돌리드,0,1,A,0,0,D,27,9,7,3,1.53,4,6.5,1.55,3.9,6.75,1.55,4.05,6.2,1.55,4.18,6.89,1.57,4,6,1.53,4.1,6.5,1.546666667,4.038333333,6.473333333
01/10/2018,셀타 데 비고,헤타페,1,1,D,1,0,H,8,12,2,4,2,3.5,3.8,2,3.3,4,2,3.35,4,2.02,3.38,4.17,2.05,3.4,3.75,1.95,3.5,3.9,2.003333333,3.405,3.936666667
05/10/2018,아틀레틱,레알 소시에다드,1,3,A,1,1,D,13,6,5,3,2.04,3.4,3.8,2.05,3.4,3.75,2.2,3.2,3.5,2.1,3.48,3.81,2.1,3.4,3.6,2.1,3.4,3.8,2.098333333,3.38,3.71
06/10/2018,알라베스,레알 마드리드,1,0,H,0,0,D,8,13,4,6,9,4.75,1.36,7.75,4.75,1.4,7,4.5,1.45,8.47,5.06,1.4,7.5,5,1.4,8.5,5,1.4,8.036666667,4.843333333,1.401666667
06/10/2018,헤타페,레반테,0,1,A,0,0,D,15,12,4,3,1.72,3.6,5.25,1.72,3.6,5.25,1.75,3.7,4.8,1.7,3.91,5.41,1.75,3.5,5,1.73,3.8,5.2,1.728333333,3.685,5.151666667
06/10/2018,지로나,에이바르,2,3,A,2,2,D,10,12,3,4,2.1,3.2,3.8,2.15,3.3,3.6,2.1,3.25,3.7,2.13,3.43,3.79,2.15,3.3,3.6,2.15,3.3,3.8,2.13,3.296666667,3.715
06/10/2018,레가네스,바예카노,1,0,H,1,0,H,13,6,4,2,2,3.3,4,2.1,3.25,3.75,2.1,3.3,3.6,2.1,3.42,3.9,2.1,3.25,3.75,2.15,3.3,3.8,2.091666667,3.303333333,3.8
07/10/2018,AT 마드리드,레알 베티스,1,0,H,0,0,D,13,5,5,0,1.44,4,9,1.48,3.9,8.25,1.5,3.9,7.6,1.5,4,8.86,1.52,4,7,1.5,4,7.5,1.49,3.966666667,8.035
07/10/2018,에스파뇰,비야레알,3,1,H,1,1,D,28,13,12,6,2.25,3.2,3.4,2.25,3.2,3.4,2.3,3.2,3.3,2.34,3.25,3.46,2.35,3.2,3.2,2.3,3.2,3.3,2.298333333,3.208333333,3.343333333
07/10/2018,세비야,셀타 데 비고,2,1,H,1,0,H,12,13,3,5,1.53,4.33,6,1.55,4.5,5.5,1.55,4.2,5.9,1.58,4.55,5.66,1.57,4.5,5.25,1.53,4.6,5.5,1.551666667,4.446666667,5.635
07/10/2018,발렌시아,바르셀로나,1,1,D,1,1,D,10,10,3,5,4.75,4.2,1.64,4.6,4.1,1.7,4.6,4.3,1.65,4.98,4.16,1.7,4.5,4,1.73,4.6,4.2,1.67,4.671666667,4.16,1.681666667
07/10/2018,레알 바야돌리드,우에스카,1,0,H,1,0,H,9,11,3,1,1.9,3.5,4.2,1.9,3.5,4.25,1.93,3.4,4.2,1.97,3.48,4.3,1.95,3.5,4,1.93,3.5,4.4,1.93,3.48,4.225
19/10/2018,셀타 데 비고,알라베스,0,1,A,0,0,D,19,9,9,2,1.66,4,5,1.75,3.75,4.75,1.85,3.5,4.4,1.72,3.93,5.2,1.73,3.8,4.8,1.73,3.9,5.25,1.74,3.813333333,4.9
20/10/2018,바르셀로나,세비야,4,2,H,2,0,H,23,19,9,7,1.33,6,7.5,1.34,6,7.25,1.35,5.8,7,1.35,6.29,7.4,1.33,5.5,8,1.33,6,8,1.338333333,5.931666667,7.525
20/10/2018,레알 마드리드,레반테,1,2,A,0,2,A,34,6,12,2,1.14,8.5,19,1.15,8.75,16,1.17,8.3,14.5,1.15,9.03,18.28,1.15,8.5,15,1.15,9,20,1.151666667,8.68,17.13
20/10/2018,발렌시아,레가네스,1,1,D,0,0,D,18,7,4,5,1.5,4,7.5,1.55,4,6.5,1.65,4,5.1,1.56,4.13,6.84,1.57,3.9,6,1.55,4.1,7,1.563333333,4.021666667,6.49
20/10/2018,비야레알,AT 마드리드,1,1,D,0,0,D,18,15,6,4,3.8,3.1,2.14,3.6,3.1,2.2,3.8,3.15,2.15,3.87,3.22,2.19,3.7,3.1,2.15,3.8,3.2,2.2,3.761666667,3.145,2.171666667
21/10/2018,레알 베티스,레알 바야돌리드,0,1,A,0,1,A,20,6,4,2,1.61,3.8,6,1.65,3.75,5.5,1.7,3.8,4.9,1.63,4.08,5.85,1.62,3.75,5.8,1.62,4,5.5,1.638333333,3.863333333,5.591666667
21/10/2018,에이바르,아틀레틱,1,1,D,1,1,D,18,6,6,3,2.7,3.2,2.75,2.75,3.1,2.75,2.7,3.1,2.75,2.79,3.21,2.82,2.75,3.1,2.75,2.75,3.13,2.75,2.74,3.14,2.761666667
21/10/2018,우에스카,에스파뇰,0,2,A,0,1,A,10,6,2,2,3.5,3.3,2.14,3.6,3.3,2.15,3.6,3.35,2.1,3.64,3.54,2.13,3.5,3.5,2.1,3.6,3.4,2.1,3.573333333,3.398333333,2.12
21/10/2018,바예카노,헤타페,1,2,A,0,0,D,10,5,3,2,2.9,3.3,2.5,2.9,3.25,2.5,2.95,3.15,2.55,3,3.26,2.61,2.9,3.2,2.55,3,3.2,2.6,2.941666667,3.226666667,2.551666667
22/10/2018,레알 소시에다드,지로나,0,0,D,0,0,D,14,12,8,2,1.72,3.75,5,1.67,4,5,1.7,3.8,4.9,1.68,4.16,5.12,1.7,3.75,5,1.67,3.9,5.2,1.69,3.893333333,5.036666667
24/10/2018,바예카노,아틀레틱,1,1,D,1,0,H,11,12,3,4,3.3,3.3,2.25,3.3,3.3,2.25,3.25,3.35,2.25,3.28,3.53,2.29,3.2,3.4,2.25,3.4,3.4,2.25,3.288333333,3.38,2.256666667
26/10/2018,레알 바야돌리드,에스파뇰,1,1,D,0,1,A,15,11,2,4,3.4,3.1,2.25,3.1,3.2,2.4,2.75,3.25,2.6,3.45,3.21,2.36,3.3,3.1,2.35,3.4,3.2,2.38,3.233333333,3.176666667,2.39
27/10/2018,아틀레틱,발렌시아,0,0,D,0,0,D,13,11,2,3,2.5,3.3,2.87,2.55,3.3,2.85,2.4,3.3,2.95,2.69,3.23,2.91,2.6,3.25,2.8,2.63,3.3,2.9,2.561666667,3.28,2.88
