Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,AvgH,AvgD,AvgA
24/08/2018,바이에른 뮌헨,호펜하임,3,1,H,1,0,H,16,8,5,5,1.2,7.5,12,1.2,7.5,11.5,1.3,5.8,9,1.2,7.86,14.9,1.17,8,13,1.2,7.5,15,1.211666667,7.36,12.56666667
25/08/2018,뒤셀도르프,아우크스부르크,1,2,A,1,0,H,9,14,5,7,2.37,3.25,3,2.4,3.3,3,2.4,3.3,2.95,2.51,3.32,3.06,2.45,3.25,2.9,2.5,3.3,3,2.438333333,3.286666667,2.985
25/08/2018,프라이부르크,프랑크푸르,0,2,A,0,1,A,22,10,6,2,2.3,3.3,3.25,2.35,3.2,3.2,2.4,3.3,2.95,2.34,3.4,3.28,2.25,3.3,3.2,2.38,3.3,3.2,2.336666667,3.3,3.18
25/08/2018,헤르타,뉘를베르크,1,0,H,1,0,H,10,12,3,3,2.04,3.4,3.75,2.05,3.4,3.7,2.1,3.4,3.5,2.05,3.43,4.06,2.05,3.4,3.6,2.05,3.4,3.8,2.056666667,3.405,3.735
25/08/2018,묀헨글라트바흐,레버쿠젠,2,0,H,0,0,D,17,13,7,3,2.8,3.5,2.45,2.85,3.5,2.4,2.8,3.4,2.5,2.89,3.69,2.47,2.62,3.7,2.45,2.8,3.7,2.4,2.793333333,3.581666667,2.445
25/08/2018,브레멘,하노버,1,1,D,0,0,D,15,13,3,4,1.85,3.6,4,1.87,3.75,4,1.9,3.5,4.1,1.93,3.79,4.1,1.85,3.6,4,1.9,3.8,4,1.883333333,3.673333333,4.033333333
25/08/2018,볼프스부르크,샬케 04,2,1,H,1,0,H,11,9,7,4,3.1,3.3,2.37,3,3.3,2.4,2.85,3.3,2.5,3.36,3.25,2.37,3.2,3.2,2.3,3.2,3.3,2.38,3.118333333,3.275,2.386666667
26/08/2018,도르트문트,라이프치히,4,1,H,3,1,H,10,10,5,7,1.72,3.8,4.75,1.75,3.8,4.6,1.8,3.6,4.5,1.79,4.05,4.57,1.75,4,4.2,1.8,4,4.3,1.768333333,3.875,4.486666667
26/08/2018,마인츠,스투가르트,1,0,H,0,0,D,8,12,3,3,2.7,3.25,2.7,2.8,3.25,2.6,2.65,3.3,2.65,2.92,3.22,2.67,2.75,3.2,2.62,2.75,3.25,2.7,2.761666667,3.245,2.656666667
31/08/2018,하노버,도르트문트,0,0,D,0,0,D,7,8,0,3,5.5,4.33,1.57,5.5,4.33,1.57,5.5,4,1.6,5.44,4.25,1.65,4.8,4.33,1.62,5.2,4.4,1.62,5.323333333,4.273333333,1.605
01/09/2018,아우크스부르크,묀헨글라트바흐,1,1,D,1,0,H,18,7,7,2,2.62,3.4,2.7,2.65,3.4,2.65,2.65,3.4,2.65,2.64,3.41,2.83,2.6,3.4,2.62,2.63,3.4,2.75,2.631666667,3.401666667,2.7
01/09/2018,프랑크푸르,브레멘,1,2,A,0,1,A,5,11,1,6,2.4,3.5,2.9,2.45,3.4,2.85,2.3,3.3,3.15,2.47,3.47,2.97,2.45,3.3,2.88,2.4,3.5,3,2.411666667,3.411666667,2.958333333
01/09/2018,호펜하임,프라이부르크,3,1,H,0,1,A,20,9,7,4,1.55,4,6.5,1.6,4.1,5.5,1.6,4.2,5.3,1.6,4.19,6.14,1.6,4.2,5,1.62,4.2,5.5,1.595,4.148333333,5.656666667
01/09/2018,레버쿠젠,볼프스부르크,1,3,A,1,1,D,16,12,3,5,1.61,4.33,5,1.65,3.9,5.25,1.65,4.1,5,1.64,4.27,5.47,1.67,4,4.75,1.67,4.33,4.8,1.648333333,4.155,5.045
01/09/2018,뉘를베르크,마인츠,1,1,D,0,1,A,19,6,4,1,2.37,3.3,3.1,2.35,3.3,3.1,2.4,3.3,2.95,2.37,3.23,3.39,2.3,3.2,3.2,2.38,3.3,3.2,2.361666667,3.271666667,3.156666667
01/09/2018,스투가르트,바이에른 뮌헨,0,3,A,0,1,A,4,20,0,6,11,5.5,1.28,11,5.25,1.3,9.5,5.5,1.3,10.3,5.96,1.31,11,4.8,1.3,11,5.75,1.29,10.63333333,5.46,1.296666667
02/09/2018,라이프치히,뒤셀도르프,1,1,D,0,0,D,23,14,7,8,1.4,4.75,8,1.42,4.75,7.5,1.45,4.5,7.1,1.41,4.92,8.87,1.4,5,7,1.4,5,8,1.413333333,4.82,7.745
02/09/2018,샬케 04,헤르타,0,2,A,0,1,A,16,5,4,3,1.75,3.6,5,1.78,3.5,5,1.75,3.7,4.8,1.79,3.53,5.53,1.75,3.6,4.75,1.8,3.6,4.8,1.77,3.588333333,4.98
14/09/2018,도르트문트,프랑크푸르,3,1,H,1,0,H,10,5,6,2,1.4,5,7.5,1.44,4.75,7,1.45,4.5,7,1.44,4.77,8.02,1.4,4.75,7.5,1.4,5,8,1.421666667,4.795,7.503333333
15/09/2018,바이에른 뮌헨,레버쿠젠,3,1,H,2,1,H,18,3,5,1,1.2,7,13,1.22,6.75,12.5,1.27,6,10,1.23,6.86,13.74,1.22,6.5,11,1.25,7,12,1.231666667,6.685,12.04
15/09/2018,뒤셀도르프,호펜하임,2,1,H,1,0,H,8,18,4,5,4,3.6,1.9,3.9,3.7,1.91,3.8,3.4,2,4.06,3.92,1.89,3.7,3.75,1.91,3.9,3.75,1.95,3.893333333,3.686666667,1.926666667
15/09/2018,마인츠,아우크스부르크,2,1,H,0,0,D,22,13,7,4,2.54,3.25,2.87,2.6,3.1,2.9,2.65,3.15,2.8,2.73,3.2,2.85,2.6,3.2,2.75,2.7,3.25,2.8,2.636666667,3.191666667,2.828333333
15/09/2018,묀헨글라트바흐,샬케 04,2,1,H,1,0,H,15,15,4,6,2.37,3.4,3,2.4,3.3,3,2.45,3.35,2.95,2.51,3.34,3.05,2.45,3.3,2.9,2.5,3.4,2.9,2.446666667,3.348333333,2.966666667
15/09/2018,라이프치히,하노버,3,2,H,2,1,H,15,16,6,8,1.53,4.33,5.5,1.53,4.5,5.75,1.55,4.45,5.4,1.56,4.42,6.17,1.55,4.33,5.5,1.57,4.5,5.5,1.548333333,4.421666667,5.636666667
15/09/2018,볼프스부르크,헤르타,2,2,D,0,0,D,15,9,6,5,2.1,3.25,3.75,2.1,3.2,3.8,2.1,3.4,3.5,2.12,3.22,4.05,2.15,3,3.8,2.15,3.2,3.9,2.12,3.211666667,3.8
16/09/2018,프라이부르크,스투가르트,3,3,D,1,1,D,12,11,5,6,2.62,3.25,2.75,2.55,3.2,2.9,2.7,3.1,2.8,2.76,3.17,2.87,2.62,3.2,2.75,2.7,3.25,2.75,2.658333333,3.195,2.803333333
16/09/2018,브레멘,뉘를베르크,1,1,D,1,0,H,14,11,2,2,1.66,4,5,1.67,4,5,1.65,4,5,1.68,4.05,5.39,1.67,4,4.75,1.67,4.1,5.2,1.666666667,4.025,5.056666667
21/09/2018,스투가르트,뒤셀도르프,0,0,D,0,0,D,10,19,1,7,1.72,3.6,5.25,1.72,3.7,5,1.8,3.6,4.5,1.78,3.84,4.81,1.8,3.7,4.33,1.8,3.75,4.6,1.77,3.698333333,4.748333333
22/09/2018,아우크스부르크,브레멘,2,3,A,1,2,A,21,12,7,7,2.5,3.25,2.9,2.45,3.4,2.85,2.5,3.4,2.8,2.53,3.48,2.89,2.4,3.4,2.88,2.5,3.4,2.9,2.48,3.388333333,2.87
