Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,AvgH,AvgD,AvgA
18/08/2018,키에보베로나,유벤투스,2,3,A,1,1,D,7,23,2,11,13,5.75,1.25,14,6.25,1.22,13,5.8,1.25,15.87,6.21,1.25,13,6,1.22,15,6,1.25,13.97833333,6.001666667,1.24
18/08/2018,라치오,나폴리,1,2,A,1,1,D,9,11,5,6,2.8,3.4,2.5,2.8,3.5,2.45,2.8,3.55,2.4,2.9,3.59,2.48,2.8,3.5,2.4,2.88,3.4,2.5,2.83,3.49,2.455
19/08/2018,볼로냐,SPAL,0,1,A,0,0,D,8,10,3,5,2.25,3.2,3.4,2.25,3.2,3.4,2.25,3.1,3.45,2.32,3.16,3.58,2.25,3.2,3.3,2.25,3.1,3.7,2.261666667,3.16,3.471666667
19/08/2018,엠폴리,칼리아리,2,0,H,1,0,H,9,12,4,5,2.14,3.2,3.6,2.15,3.25,3.6,2.15,3.3,3.45,2.22,3.26,3.6,2.25,3.25,3.25,2.25,3.13,3.6,2.193333333,3.231666667,3.516666667
19/08/2018,파르마 칼초,우디네세,2,2,D,1,0,H,9,16,6,6,2.45,3.3,2.9,2.45,3.2,3,2.45,3.15,3.05,2.51,3.2,3.18,2.5,3.2,2.9,2.6,3.1,3,2.493333333,3.191666667,3.005
19/08/2018,사수올로,인테르,1,0,H,1,0,H,7,11,5,4,5.5,4,1.61,5.25,3.9,1.65,5.4,4,1.6,5.96,4.19,1.61,5,3.8,1.65,6.25,3.9,1.6,5.56,3.965,1.62
19/08/2018,토리노,로마,0,1,A,0,0,D,8,16,5,13,3.5,3.5,2.1,3.5,3.6,2.05,3.4,3.55,2.1,3.59,3.59,2.14,3.4,3.6,2.05,3.6,3.5,2.1,3.498333333,3.556666667,2.09
20/08/2018,아탈란타,프로시노네,4,0,H,1,0,H,16,6,10,1,1.36,4.5,11,1.36,5,8.5,1.35,4.95,9.6,1.35,5.01,10.76,1.35,4.8,9,1.33,5,12,1.35,4.876666667,10.14333333
25/08/2018,유벤투스,라치오,2,0,H,1,0,H,14,8,9,3,1.36,5,8.5,1.36,5,8.5,1.38,4.95,8,1.36,5.2,10.07,1.36,4.75,8,1.33,5,10,1.358333333,4.983333333,8.845
25/08/2018,나폴리,AC 밀란,3,2,H,0,1,A,21,6,13,4,1.61,4,5.5,1.62,4,5.5,1.67,3.95,5.1,1.68,3.92,5.7,1.65,3.9,5,1.65,4,5.5,1.646666667,3.961666667,5.383333333
26/08/2018,칼리아리,사수올로,2,2,D,1,0,H,12,12,7,6,2.45,3.3,2.9,2.55,3.2,2.9,2.55,3.25,2.85,2.61,3.35,2.93,2.5,3.3,2.8,2.63,3.2,2.9,2.548333333,3.266666667,2.88
26/08/2018,피오렌티나,키에보베로나,6,1,H,2,0,H,19,5,15,3,1.5,4.33,6.5,1.45,4.4,7.5,1.5,4.2,6.7,1.46,4.52,8.32,1.44,4.4,7,1.45,4.5,7.5,1.466666667,4.391666667,7.253333333
26/08/2018,프로시노네,볼로냐,0,0,D,0,0,D,11,10,7,5,3.3,3,2.4,3.1,3.25,2.4,3.2,3.15,2.35,3.2,3.38,2.4,3.1,3.3,2.3,3.4,3,2.4,3.216666667,3.18,2.375
26/08/2018,제노아,엠폴리,2,1,H,2,0,H,10,12,4,8,1.95,3.4,4,2,3.3,4,2,3.3,4,2.03,3.36,4.23,2,3.3,3.9,2,3.25,4.33,1.996666667,3.318333333,4.076666667
26/08/2018,인테르,토리노,2,2,D,2,0,H,9,10,6,7,1.5,4.33,7,1.48,4.4,6.75,1.5,4.4,6.4,1.49,4.66,7.15,1.44,4.4,7,1.5,4.5,6.5,1.485,4.448333333,6.8
26/08/2018,SPAL,파르마 칼초,1,0,H,0,0,D,15,3,5,0,2.04,3.3,3.8,2.1,3.2,3.9,2.05,3.2,3.95,2.11,3.22,4.11,2.05,3.3,3.7,2.1,3.13,4.2,2.075,3.225,3.943333333
26/08/2018,우디네세,삼프도리아,1,0,H,1,0,H,13,9,5,4,2.4,3.25,3.1,2.4,3.2,3.1,2.35,3.35,3,2.44,3.45,3.06,2.38,3.4,2.9,2.38,3.25,3.2,2.391666667,3.316666667,3.06
27/08/2018,로마,아탈란타,3,3,D,1,3,A,21,17,11,10,1.72,3.75,5,1.7,4,4.75,1.7,3.9,4.9,1.72,4.13,4.98,1.7,4,4.5,1.7,3.8,5.25,1.706666667,3.93,4.896666667
31/08/2018,AC 밀란,로마,2,1,H,1,0,H,18,6,9,3,2.45,3.4,2.87,2.4,3.4,2.95,2.4,3.45,2.9,2.49,3.48,2.98,2.45,3.4,2.8,2.45,3.4,3,2.44,3.421666667,2.916666667
01/09/2018,볼로냐,인테르,0,3,A,0,0,D,7,10,1,4,7,4,1.53,6.25,3.9,1.57,6,3.8,1.6,6.79,3.99,1.59,5.8,4,1.57,7,3.8,1.57,6.473333333,3.915,1.571666667
01/09/2018,파르마 칼초,유벤투스,1,2,A,1,1,D,8,20,7,10,17,7,1.18,17.5,7,1.18,15,6.5,1.2,22.56,7.37,1.18,17,7.5,1.15,23,7.5,1.15,18.67666667,7.145,1.173333333
02/09/2018,아탈란타,칼리아리,0,1,A,0,1,A,8,4,5,3,1.55,4.2,6,1.53,4.2,6.25,1.6,4,5.5,1.55,4.24,6.91,1.57,4,5.8,1.53,4.1,7,1.555,4.123333333,6.243333333
02/09/2018,키에보베로나,엠폴리,0,0,D,0,0,D,11,12,5,4,2.3,3.2,3.3,2.4,3.1,3.2,2.2,3.2,3.5,2.45,3.25,3.22,2.38,3.25,3,2.4,3.13,3.3,2.355,3.188333333,3.253333333
02/09/2018,피오렌티나,우디네세,1,0,H,0,0,D,13,4,4,1,1.57,4,6,1.57,4,6,1.7,3.75,5,1.56,4.32,6.41,1.55,4.33,5.5,1.57,4.1,6.5,1.586666667,4.083333333,5.901666667
02/09/2018,라치오,프로시노네,1,0,H,0,0,D,17,7,8,5,1.22,6.5,13,1.22,6.25,14,1.22,6.5,12.5,1.21,7.09,16.74,1.17,6.5,17,1.2,7,13,1.206666667,6.64,14.37333333
02/09/2018,삼프도리아,나폴리,3,0,H,2,0,H,7,12,4,6,6.5,4.1,1.53,5.75,4.33,1.55,6,4,1.57,6.51,4.29,1.56,5.5,4.4,1.53,5.5,4.4,1.55,5.96,4.253333333,1.548333333
02/09/2018,사수올로,제노아,5,3,H,4,1,H,10,11,8,8,2.1,3.3,3.75,2.1,3.3,3.7,2.2,3.4,3.3,2.15,3.3,3.89,2.15,3.25,3.5,2.1,3.2,3.9,2.133333333,3.291666667,3.673333333
02/09/2018,토리노,SPAL,1,0,H,0,0,D,10,8,7,3,1.66,3.75,5.5,1.62,3.8,5.75,1.65,3.8,5.4,1.66,3.96,5.9,1.65,3.9,5,1.62,3.75,6.25,1.643333333,3.826666667,5.633333333
15/09/2018,프로시노네,삼프도리아,0,5,A,0,1,A,6,10,2,7,3.5,3.4,2.1,3.5,3.3,2.15,3.5,3.35,2.15,3.66,3.41,2.18,3.3,3.3,2.2,3.6,3.25,2.2,3.51,3.335,2.163333333
15/09/2018,인테르,파르마 칼초,0,1,A,0,0,D,24,8,11,6,1.25,6,12,1.26,5.75,12,1.25,6.1,11,1.26,6.03,14.48,1.25,6,11,1.25,6,15,1.253333333,5.98,12.58
15/09/2018,나폴리,피오렌티나,1,0,H,0,0,D,19,7,5,3,1.57,4.2,5.75,1.57,4.25,5.5,1.6,4,5.5,1.58,4.41,5.96,1.6,4.2,5,1.55,4.3,6.25,1.578333333,4.226666667,5.66
